entries,size,statuses,profile_reversal_family,coefficient_min,coefficient_max,perron_sensitivity,perron_contribution
"[[[1,5,3,3],[0,2,1,3]],[[1,5,3,3],[1,3,2,0]],[[3,3,5,1],[0,2,3,1]],[[3,3,5,1],[3,1,2,0]]]",4,provisional_common_1_over_q_target,"[1,5,3,3]",0.03125,0.03125,0.008604163548797839,0.00026888011089993245
"[[[1,5,1,5],[0,2,1,3]],[[1,5,1,5],[1,3,0,2]],[[5,1,5,1],[2,0,3,1]],[[5,1,5,1],[3,1,2,0]]]",4,provisional_common_1_over_q_target,"[1,5,1,5]",0.03125,0.03125,0.007968154584069008,0.0002490048307521565
"[[[3,1,1,7],[0,0,1,5]],[[3,1,1,7],[3,1,0,2]],[[7,1,1,3],[2,0,1,3]],[[7,1,1,3],[5,1,0,0]]]",4,provisional_common_1_over_q_target,"[3,1,1,7]",0.03125,0.03125,0.00783088587260827,0.0002447151835190084
"[[[1,3,5,3],[0,2,1,3]],[[1,3,5,3],[1,1,4,0]],[[3,5,3,1],[0,4,1,1]],[[3,5,3,1],[3,1,2,0]]]",4,provisional_common_1_over_q_target,"[1,3,5,3]",0.03125,0.03125,0.007086329115842376,0.00022144778487007426
"[[[1,5,3,3],[0,2,3,1]],[[1,5,3,3],[1,3,0,2]],[[3,3,5,1],[1,3,2,0]],[[3,3,5,1],[2,0,3,1]]]",4,provisional_common_1_over_q_target,"[1,5,3,3]",0.03125,0.03125,0.006361345232249039,0.00019879203850778246
"[[[3,1,3,5],[0,0,1,5]],[[3,1,3,5],[3,1,2,0]],[[5,3,1,3],[0,2,1,3]],[[5,3,1,3],[5,1,0,0]]]",4,provisional_common_1_over_q_target,"[3,1,3,5]",0.03125,0.03125,0.006093151651490356,0.00019041098910907363
"[[[1,1,5,5],[0,0,3,3]],[[1,1,5,5],[1,1,2,2]],[[5,5,1,1],[2,2,1,1]],[[5,5,1,1],[3,3,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,5,5]",0.03125,0.03125,0.005921316780306988,0.00018504114938459337
"[[[1,3,7,1],[0,2,3,1]],[[1,3,7,1],[1,1,4,0]],[[1,7,3,1],[0,4,1,1]],[[1,7,3,1],[1,3,2,0]]]",4,provisional_common_1_over_q_target,"[1,3,7,1]",0.03125,0.03125,0.005657343298200883,0.0001767919780687776
"[[[3,3,3,3],[0,2,1,3]],[[3,3,3,3],[3,1,2,0]]]",2,provisional_common_1_over_q_target,"[3,3,3,3]",0.03125,0.03125,0.0053887426888788725,0.00016839820902746477
"[[[1,1,3,7],[0,0,3,3]],[[1,1,3,7],[1,1,0,4]],[[7,3,1,1],[3,3,0,0]],[[7,3,1,1],[4,0,1,1]]]",4,provisional_common_1_over_q_target,"[1,1,3,7]",0.03125,0.03125,0.005373758857189838,0.00016792996428718245
"[[[1,7,1,3],[0,4,1,1]],[[1,7,1,3],[1,3,0,2]],[[3,1,7,1],[1,1,4,0]],[[3,1,7,1],[2,0,3,1]]]",4,provisional_common_1_over_q_target,"[1,7,1,3]",0.03125,0.03125,0.005239159585885575,0.0001637237370589242
"[[[3,1,3,5],[0,0,3,3]],[[3,1,3,5],[3,1,0,2]],[[5,3,1,3],[2,0,1,3]],[[5,3,1,3],[3,3,0,0]]]",4,provisional_common_1_over_q_target,"[3,1,3,5]",0.03125,0.03125,0.005085808449686367,0.00015893151405269897
"[[[1,3,3,5],[0,0,1,5]],[[1,3,3,5],[1,3,2,0]],[[5,3,3,1],[0,2,3,1]],[[5,3,3,1],[5,1,0,0]]]",4,provisional_common_1_over_q_target,"[1,3,3,5]",0.03125,0.03125,0.004864443930979195,0.00015201387284309985
"[[[1,3,5,1],[0,0,5,0]],[[1,3,5,1],[1,3,0,1]],[[1,5,3,1],[0,5,0,0]],[[1,5,3,1],[1,0,3,1]]]",4,provisional_common_1_over_q_target,"[1,3,5,1]",0.03125,0.03125,0.004788189276818044,0.00014963091490056388
"[[[1,3,1,7],[0,0,1,5]],[[1,3,1,7],[1,3,0,2]],[[7,1,3,1],[2,0,3,1]],[[7,1,3,1],[5,1,0,0]]]",4,provisional_common_1_over_q_target,"[1,3,1,7]",0.03125,0.03125,0.004504870344194482,0.00014077719825607757
"[[[1,1,7,3],[0,0,5,1]],[[1,1,7,3],[1,1,2,2]],[[3,7,1,1],[1,5,0,0]],[[3,7,1,1],[2,2,1,1]]]",4,provisional_common_1_over_q_target,"[1,1,7,3]",0.03125,0.03125,0.0041616894130779,0.00013005279415868436
"[[[1,1,5,5],[0,0,1,5]],[[1,1,5,5],[1,1,4,0]],[[5,5,1,1],[0,4,1,1]],[[5,5,1,1],[5,1,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,5,5]",0.03125,0.03125,0.004006322109636893,0.0001251975659261529
"[[[3,1,5,3],[0,0,3,3]],[[3,1,5,3],[3,1,2,0]],[[3,5,1,3],[0,2,1,3]],[[3,5,1,3],[3,3,0,0]]]",4,provisional_common_1_over_q_target,"[3,1,5,3]",0.03125,0.03125,0.003957228167858432,0.000123663380245576
"[[[1,1,5,5],[0,0,5,1]],[[1,1,5,5],[1,1,0,4]],[[5,5,1,1],[1,5,0,0]],[[5,5,1,1],[4,0,1,1]]]",4,provisional_common_1_over_q_target,"[1,1,5,5]",0.03125,0.03125,0.0037768483217749923,0.00011802651005546851
"[[[3,1,5,3],[0,0,5,1]],[[3,1,5,3],[3,1,0,2]],[[3,5,1,3],[1,5,0,0]],[[3,5,1,3],[2,0,1,3]]]",4,provisional_common_1_over_q_target,"[3,1,5,3]",0.03125,0.03125,0.0035744676340225398,0.00011170211356320437
"[[[1,5,5,1],[0,2,3,1]],[[1,5,5,1],[1,3,2,0]]]",2,provisional_common_1_over_q_target,"[1,5,5,1]",0.03125,0.03125,0.003434550258228404,0.00010732969556963763
